id	nm	lat	lon	countryCode
1859647	Kawasaki	33.58333	130.8333	JP
1859891	Kasugai	35.24762	136.9723	JP
1859951	Kashihara-shi	34.50896	135.7929	JP
1859964	Kaseda	31.41667	130.3167	JP
1859990	Kasaoka	34.5	133.5	JP
1860176	Kannabe	34.53333	133.3833	JP
1860191	Kanie	35.13333	136.8	JP
1860211	Kaneko	36.4	139	JP
1860256	Kanaya	34.81667	138.1333	JP
1860321	Kamojima	34.06667	134.35	JP
1860335	Kamogata	34.53333	133.5833	JP
1860648	Kameda	37.86667	139.1167	JP
1860750	Kajiki	31.73333	130.6667	JP
1860765	Kaizuka	34.45	135.35	JP
1860827	Kagoshima-shi	31.56018	130.5581	JP
1861164	Iwatsuki	35.94278	139.6919	JP
1861171	Iwata	34.7	137.85	JP
1861223	Iwai	36.05	139.9	JP
1861244	Iwade	34.25	135.3167	JP
1861261	Itsukaichi	35.72528	139.2178	JP
1861280	Itoman	26.12472	127.6694	JP
1861285	Itoigawa	37.03333	137.85	JP
1861310	Itami	34.78427	135.4013	JP
1861383	Ishiki	34.8	137.0167	JP
1861393	Ishikawa	26.42333	127.8214	JP
1861406	Ishige	36.11667	139.9667	JP
1861416	Ishigaki	24.34478	124.1572	JP
1861586	Innoshima	34.28333	133.1833	JP
1861699	Imaichi	36.71667	139.6833	JP
1861795	Ikeda	34.82208	135.4298	JP
1861799	Ikeda	34.01667	133.8	JP
1861825	Ijuin	31.61667	130.4	JP
1861901	Iga	34.76855	136.1301	JP
1862033	Ibaraki	34.81641	135.5683	JP
1862034	Ibara	34.6	133.4667	JP
1862098	Hotaka	36.3396	137.8825	JP
1862302	Hofu	34.05	131.5667	JP
1862389	Hisai	34.66667	136.4667	JP
1862471	Hirata	35.43333	132.8167	JP
1862601	Hino	35	136.25	JP
1862912	Hekinan	34.88333	136.9833	JP
1863279	Hamanoichi	31.71667	130.7333	JP
1863293	Hamakita	34.8	137.7833	JP
1863398	Haibara	34.53333	135.95	JP
1863426	Haebaru	26.33694	127.8719	JP
1863451	Omihachiman	35.12861	136.0976	JP
1863614	Gobo	33.88333	135.15	JP
1863627	Ginowan	26.26265	127.7615	JP
1863953	Fukura	34.25	134.7167	JP
1863973	Fukumitsu	36.55	136.8667	JP
1863978	Fukuma	33.76667	130.4667	JP
1863985	Fukui-shi	36.06443	136.2226	JP
1863997	Fukue	32.68806	128.8419	JP
1864025	Fukiage	36.1	139.45	JP
1864098	Fujioka	36.25	139.65	JP
1864134	Fuji	35.16667	138.6833	JP
1864155	Fuchu	34.56667	133.2333	JP
1864557	Chino	35.9944	138.1543	JP
1864985	Ashiya	34.72807	135.3026	JP
1865207	Arai	37.01667	138.25	JP
1865375	Amagi	33.41667	130.65	JP
1865661	Aioi-shi	34.80361	134.4681	JP
1899102	Nagato	34.38333	131.2	JP
1907146	Sayama	35.85295	139.4121	JP
1907148	Fussa	35.73667	139.3236	JP
1907309	Miura	35.14	139.6192	JP
1926004	Wakayama-shi	34.22611	135.1675	JP
1926099	Matsuyama-shi	33.83916	132.7657	JP
1926101	Masaki-cho	33.78757	132.7112	JP
1926116	Kawanoe	34.01667	133.5667	JP
1926142	Hojo	33.97661	132.7777	JP
2110538	Yanagawa	37.85	140.6	JP
2110541	Yamoto	38.42738	141.2149	JP
2110683	Tsukuba	36.2	140.1	JP
2110743	Tomobe	36.35	140.3	JP
2110893	Takahagi	36.71667	140.7167	JP
2111425	Omiya	36.55	140.4167	JP
2111429	Omigawa	35.85	140.6167	JP
2111435	Omagari	39.45	140.4833	JP
2111441	Okunoya	36.28333	140.4167	JP
2111495	Ohara	35.25	140.3833	JP
2111567	Oarai	36.31667	140.6	JP
2111568	Oami	35.51667	140.3167	JP
2111677	Naruto	35.6	140.4167	JP
2111824	Motomiya	37.51667	140.4	JP
2111859	Mizusawa	39.13333	141.1333	JP
2111901	Mito-shi	36.34139	140.4467	JP
2111964	Matsushima	38.37357	141.0611	JP
2112019	Makabe	36.26667	140.1	JP
2112077	Kuroiso	36.96667	140.05	JP
2112182	Kogota	38.55	141.05	JP
2112227	Kitakami	39.28333	141.1167	JP
2112297	Kawaguchi	35.1	140.1	JP
2112309	Katsuura	35.13333	140.3	JP
2112312	Katsuta	36.38333	140.5333	JP
2112319	Katori-shi	35.89767	140.4994	JP
2112354	Karasuyama	36.65	140.15	JP
2112521	Iwase	36.35	140.1	JP
2112583	Ishikawa	37.15	140.45	JP
2112615	Inawashiro	37.56667	140.1167	JP
2112692	Hobara	37.81667	140.55	JP
2112708	Hitachi	36.6	140.65	JP
2112899	Furukawa	38.57167	140.9556	JP
2112903	Funehiki	37.43333	140.5833	JP
2112940	Fujishiro	35.91667	140.1167	JP
2112963	Edosaki	35.95	140.3167	JP
2113126	Akita	39.71667	140.1167	JP
2113719	Akita Shi	39.71806	140.1033	JP
2127910	Takanosu	40.22194	140.3694	JP
2128025	Shizunai	42.33389	142.3669	JP
2128147	Shimo-furano	43.35	142.3833	JP
2128206	Shibetsu	43.65899	145.132	JP
2129005	Namioka	40.70722	140.5894	JP
2129324	Makubetsu	45.37139	141.8211	JP
2129513	Kizukuri	40.80611	140.3861	JP
2129766	Kamiiso	41.81667	140.65	JP
2130054	Kitahiroshima	42.97583	141.5672	JP
2130203	Hachinohe	40.5	141.5	JP
6694821	Nanto-shi	36.56922	136.9116	JP
6696932	Kawage	34.80447	136.5464	JP
6697563	Neyagawa	34.76615	135.6276	JP
6822096	Hitachi-Naka	36.39659	140.5348	JP
6822131	Akiruno-shi	35.72878	139.2941	JP
6822146	Onojo	33.53567	130.4786	JP
6822181	Kamagaya-shi	35.77674	140.0007	JP
6822217	Minokamo	35.48199	137.0217	JP
6822219	Gujo	35.73691	136.9585	JP
6825489	Joetsu	37.14828	138.2364	JP
6940394	Saitama	35.90807	139.6566	JP
7279570	Higashimurayama-shi	35.75459	139.4685	JP
7279571	Kunisaki-shi	33.56543	131.7316	JP
7281819	Fujikawaguchiko	35.48933	138.6883	JP
8125829	Kamigyo-ku	35.02954	135.7567	JP
8198709	Buzen	33.61153	131.13	JP
1848169	Yoshino-cho	34.39611	135.8577	JP
1852534	Shiida	33.65341	131.058	JP
1856798	Miyajima	34.30183	132.3261	JP
1862944	Heda	34.96667	138.7667	JP
2112454	Kakudate	39.58333	140.5667	JP
2129761	Kamikawa	43.84	142.7711	JP
6417596	Koya	34.21294	135.6224	JP
6691616	Kihoku-cho	33.25592	132.6834	JP
6697514	Asahi	35.97259	136.1246	JP
6941783	Niseko Town	42.77871	140.669	JP
7303387	Rishiri Town	45.15928	141.1963	JP
8198710	Yoshitomi	33.60247	131.176	JP
